subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
07IA,exp,1,14,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,80,20,yellow,blue,yellow,40,80,A,889,6744,275,win,40
07IA,exp,1,15,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,90,40,blue,yellow,yellow,90,40,B,625,6195,27,no_win,0
07IA,exp,1,16,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,70,50,blue,yellow,blue,40,60,A,1104,6461,3,no_win,0
07IA,exp,1,17,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,70,30,40,blue,yellow,blue,80,70,A,754,4009,30,no_win,0
07IA,exp,1,18,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,70,30,yellow,blue,yellow,10,90,A,477,4822,188,win,10
07IA,exp,1,19,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,70,50,50,blue,yellow,blue,20,70,A,470,6048,348,win,20
07IA,exp,1,20,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,50,blue,yellow,blue,50,90,A,1219,5393,258,win,50
07IA,exp,1,21,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,80,20,yellow,blue,blue,80,20,B,868,5974,57,no_win,0
07IA,exp,1,22,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,100,20,yellow,blue,yellow,40,90,A,678,10401,54,win,40
07IA,exp,1,23,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,60,90,20,blue,yellow,blue,50,60,A,985,6618,278,win,50
07IA,exp,1,24,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,100,20,yellow,blue,yellow,30,90,A,869,6644,18,no_win,0
07IA,exp,1,25,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,blue,90,80,A,1439,4313,295,win,90
07IA,exp,1,26,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,90,30,blue,yellow,blue,40,90,A,680,10498,219,win,40
07IA,exp,1,27,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,70,90,20,blue,yellow,yellow,90,20,B,668,6128,321,win,90
07IA,exp,1,28,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,50,40,20,blue,yellow,yellow,40,20,B,2451,6384,229,no_win,0
07IA,exp,1,29,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,60,80,blue,yellow,blue,80,90,A,840,5595,332,win,80
07IA,exp,1,30,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,60,10,yellow,blue,yellow,10,70,A,893,4542,24,no_win,0
07IA,exp,1,31,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,100,10,yellow,blue,yellow,30,80,A,348,4361,18,no_win,0
07IA,exp,1,32,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,80,30,blue,yellow,blue,20,70,A,622,4983,50,no_win,0
07IA,exp,1,33,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,40,blue,yellow,yellow,100,40,B,963,4713,21,no_win,0
07IA,exp,1,34,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,50,40,yellow,blue,yellow,20,60,A,909,4495,231,win,20
07IA,exp,1,35,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,20,blue,yellow,blue,30,60,A,526,3384,292,win,30
07IA,exp,1,36,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,80,40,yellow,blue,yellow,60,80,A,550,4572,44,no_win,0
07IA,exp,1,37,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,10,blue,yellow,blue,30,60,A,519,5573,120,no_win,0
07IA,exp,1,38,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,50,50,blue,yellow,yellow,50,50,B,584,5394,310,win,50
07IA,exp,1,39,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,90,50,yellow,blue,yellow,40,80,A,702,3989,156,win,40
07IA,exp,1,40,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,100,30,yellow,blue,yellow,40,80,A,1952,4704,160,win,40
07IA,exp,1,41,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,1116,6814,181,no_win,0
07IA,exp,1,42,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,80,30,yellow,blue,yellow,40,90,A,967,4003,86,win,40
07IA,exp,1,43,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,80,20,yellow,blue,yellow,10,80,A,637,5654,131,win,10
07IA,exp,1,44,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,60,50,40,blue,yellow,blue,40,60,A,1230,4992,100,no_win,0
07IA,exp,1,45,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,blue,30,90,A,1003,3527,350,win,30
07IA,exp,1,46,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,717,4093,169,no_win,0
07IA,exp,1,47,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,20,blue,yellow,blue,60,50,A,838,7603,190,win,60
07IA,exp,1,48,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,80,20,yellow,blue,yellow,50,70,A,653,4166,195,win,50
07IA,exp,1,49,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,70,10,blue,yellow,blue,10,60,A,803,6049,174,win,10
07IA,exp,1,50,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,100,20,blue,yellow,blue,60,70,A,914,6819,286,win,60
07IA,exp,1,51,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,70,40,yellow,blue,yellow,40,90,A,786,4019,87,win,40
07IA,exp,1,52,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,100,20,blue,yellow,blue,50,90,A,620,5369,260,win,50
07IA,exp,1,53,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,100,20,yellow,blue,blue,100,20,B,972,6147,173,no_win,0
07IA,exp,1,54,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,60,40,20,blue,yellow,blue,90,60,A,784,3621,181,win,90
07IA,exp,1,55,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,100,10,yellow,blue,yellow,50,50,A,631,5252,220,win,50
07IA,exp,1,56,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,50,30,blue,yellow,blue,40,90,A,596,4225,227,win,40
07IA,exp,1,57,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,70,40,blue,yellow,yellow,70,40,B,882,9476,38,no_win,0
07IA,exp,1,58,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,60,90,50,yellow,blue,yellow,60,60,A,645,5705,74,no_win,0
07IA,exp,1,59,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,50,70,30,blue,yellow,yellow,70,30,B,811,6289,224,no_win,0
07IA,exp,1,60,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,60,40,blue,yellow,blue,20,60,A,383,5061,175,win,20
07IA,exp,1,61,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,40,40,blue,yellow,blue,30,60,A,649,4426,171,win,30
07IA,exp,1,62,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,80,50,yellow,blue,blue,80,50,B,1309,6458,241,win,80
07IA,exp,1,63,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,40,20,blue,yellow,blue,10,60,A,567,3841,253,win,10
07IA,exp,1,64,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,50,40,blue,yellow,blue,40,70,A,548,3284,207,win,40
07IA,exp,1,65,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,40,50,yellow,blue,yellow,20,90,A,547,5122,320,win,20
07IA,exp,1,66,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,70,80,30,40,blue,yellow,blue,70,80,A,633,3946,350,win,70
07IA,exp,1,67,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,80,30,blue,yellow,blue,20,90,A,617,5256,355,win,20
07IA,exp,1,68,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,70,20,blue,yellow,blue,10,90,A,496,5220,233,win,10
07IA,exp,1,69,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,yellow,60,70,A,578,4031,206,win,60
07IA,exp,1,70,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,50,70,40,yellow,blue,yellow,60,50,A,688,5704,333,win,60
07IA,exp,1,71,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,100,30,yellow,blue,yellow,30,50,A,833,6145,153,no_win,0
07IA,exp,1,72,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,90,10,blue,yellow,blue,30,60,A,1040,5374,63,no_win,0
07IA,exp,1,73,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,70,80,20,blue,yellow,blue,40,70,A,585,4471,219,win,40
07IA,exp,1,74,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,40,blue,yellow,blue,10,60,A,1179,3675,258,win,10
07IA,exp,1,75,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,70,40,blue,yellow,blue,20,70,A,700,11270,198,win,20
07IA,exp,1,76,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,40,30,blue,yellow,blue,30,80,A,582,4054,234,win,30
07IA,exp,1,77,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,80,20,yellow,blue,yellow,30,90,A,509,3805,61,win,30
07IA,exp,1,78,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,60,20,yellow,blue,yellow,30,90,A,1042,6985,135,win,30
07IA,exp,1,79,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,30,50,yellow,blue,yellow,50,70,A,903,3801,305,win,50
07IA,exp,1,80,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,80,40,blue,yellow,blue,60,70,A,838,4339,353,win,60
07IA,exp,1,81,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,70,30,yellow,blue,yellow,30,80,A,529,7021,185,win,30
07IA,exp,1,82,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,yellow,30,70,A,1262,4777,260,win,30
07IA,exp,1,83,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,80,30,yellow,blue,yellow,60,80,A,670,4294,138,win,60
07IA,exp,1,84,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,20,blue,yellow,blue,30,60,A,702,4687,42,no_win,0
07IA,exp,1,85,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,50,40,yellow,blue,yellow,20,80,A,1116,4214,208,win,20
07IA,exp,1,86,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,70,50,blue,yellow,blue,60,70,A,477,3987,274,win,60
07IA,exp,1,87,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,100,30,yellow,blue,yellow,50,70,A,865,6017,335,win,50
07IA,exp,1,88,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,30,blue,yellow,blue,30,60,A,1055,11003,348,win,30
07IA,exp,1,89,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,blue,10,80,A,786,4378,27,no_win,0
07IA,exp,1,90,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,80,60,30,yellow,blue,yellow,50,80,A,1029,3456,325,win,50
