subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
07IA,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,90,30,blue,yellow,blue,40,90,A,1586,8554,360,win,40
07IA,practice,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,70,50,blue,yellow,blue,60,70,A,1654,7712,352,win,60
07IA,practice,1,3,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,60,80,blue,yellow,blue,80,90,A,1236,6293,355,win,80
07IA,practice,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,100,20,blue,yellow,blue,60,70,A,937,6305,256,win,60
07IA,practice,1,5,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,70,30,40,blue,yellow,blue,80,70,A,1641,5534,19,no_win,0
07IA,practice,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,yellow,30,70,A,994,4920,66,no_win,0
07IA,exp,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,90,30,blue,yellow,blue,60,70,A,1852,6957,288,win,60
07IA,exp,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,100,20,yellow,blue,yellow,30,60,A,1167,4098,255,win,30
07IA,exp,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,90,20,blue,yellow,yellow,90,20,B,892,7668,208,no_win,0
07IA,exp,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,70,40,blue,yellow,blue,60,80,A,612,7805,245,win,60
07IA,exp,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,90,60,40,yellow,blue,yellow,50,90,A,815,6478,107,win,50
07IA,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,90,50,blue,yellow,yellow,90,50,B,1132,6960,318,win,90
07IA,exp,1,7,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,70,20,yellow,blue,yellow,80,90,A,1278,7218,31,no_win,0
07IA,exp,1,8,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,80,60,10,blue,yellow,blue,80,80,A,805,7740,166,win,80
07IA,exp,1,9,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,50,yellow,blue,blue,90,50,B,824,8992,234,win,90
07IA,exp,1,10,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,50,20,yellow,blue,yellow,10,90,A,1265,7025,23,no_win,0
07IA,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,90,20,yellow,blue,blue,90,20,B,427,5671,269,no_win,0
07IA,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,70,30,yellow,blue,yellow,50,50,A,522,6191,144,no_win,0
07IA,exp,1,13,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,90,50,60,yellow,blue,yellow,80,90,A,527,4778,64,win,80
