subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
07EA,practice,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,60,90,50,yellow,blue,yellow,60,60,A,29063,25986,8,no_loss,0
07EA,practice,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,50,yellow,blue,yellow,60,70,A,9211,13316,295,loss,60
07EA,practice,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,60,10,yellow,blue,blue,60,10,B,4495,33538,29,no_loss,0
07EA,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,60,70,50,blue,yellow,blue,40,60,A,2441,8262,95,no_loss,0
07EA,practice,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,50,blue,yellow,yellow,60,50,B,1077,5300,270,loss,60
07EA,practice,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,40,50,blue,yellow,blue,20,90,A,1639,32495,86,loss,20
07EA,exp,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,70,90,40,yellow,blue,yellow,30,70,A,22118,72524,249,loss,30
07EA,exp,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,60,80,50,blue,yellow,blue,40,60,A,4201,11581,20,no_loss,0
07EA,exp,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,80,30,yellow,blue,blue,80,30,B,3318,7998,52,no_loss,0
07EA,exp,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,80,80,20,yellow,blue,blue,80,20,B,1097,9357,199,no_loss,0
07EA,exp,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,70,40,yellow,blue,blue,70,40,B,4804,6406,261,loss,70
07EA,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,90,30,blue,yellow,yellow,90,30,B,12985,5707,109,no_loss,0
07EA,exp,1,7,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,20,yellow,blue,yellow,30,60,A,1068,8754,340,loss,30
07EA,exp,1,8,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,100,20,blue,yellow,yellow,100,20,B,950,3379,202,no_loss,0
07EA,exp,1,9,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,60,90,50,yellow,blue,blue,90,50,B,1616,4299,184,loss,90
07EA,exp,1,10,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,80,90,20,blue,yellow,blue,20,80,A,768,36222,178,loss,20
07EA,exp,1,11,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,100,20,yellow,blue,blue,100,20,B,2431,9242,232,no_loss,0
07EA,exp,1,12,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,90,50,60,blue,yellow,yellow,50,60,B,3237,8089,85,no_loss,0
07EA,exp,1,13,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,90,10,blue,yellow,blue,30,60,A,751,2600,142,no_loss,0
07EA,exp,1,14,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,40,40,blue,yellow,yellow,40,40,B,2538,3434,348,loss,40
07EA,exp,1,15,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,70,80,30,40,blue,yellow,yellow,30,40,B,3563,3083,62,no_loss,0
07EA,exp,1,16,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,60,10,yellow,blue,blue,60,10,B,1226,9944,171,no_loss,0
07EA,exp,1,17,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,80,30,yellow,blue,blue,80,30,B,973,6285,343,loss,80
07EA,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,70,30,blue,yellow,yellow,70,30,B,777,119180,20,no_loss,0
07EA,exp,1,19,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,80,40,blue,yellow,blue,50,50,A,47041,3553,51,no_loss,0
07EA,exp,1,20,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,70,40,yellow,blue,yellow,20,60,A,15562,7243,313,loss,20
07EA,exp,1,21,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,50,40,yellow,blue,yellow,20,60,A,1762,3519,188,loss,20
07EA,exp,1,22,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,50,50,blue,yellow,yellow,50,50,B,2076,49677,59,no_loss,0
07EA,exp,1,23,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,100,20,blue,yellow,yellow,100,20,B,1411,3515,94,no_loss,0
07EA,exp,1,24,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,50,20,yellow,blue,blue,50,20,B,734,3378,316,loss,50
07EA,exp,1,25,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,80,60,10,yellow,blue,blue,60,10,B,675,4781,28,no_loss,0
07EA,exp,1,26,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,50,yellow,blue,yellow,60,70,A,867,3709,342,loss,60
07EA,exp,1,27,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,1228,3625,44,no_loss,0
07EA,exp,1,28,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,50,70,40,yellow,blue,blue,70,40,B,807,3119,337,loss,70
07EA,exp,1,29,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,90,50,yellow,blue,blue,90,50,B,1022,2525,350,loss,90
07EA,exp,1,30,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,80,70,40,blue,yellow,yellow,70,40,B,662,2902,229,loss,70
