subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
07EA,exp,1,31,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,90,30,yellow,blue,blue,90,30,B,651,2708,267,loss,90
07EA,exp,1,32,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,80,40,yellow,blue,blue,80,40,B,518,3423,342,loss,80
07EA,exp,1,33,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,50,40,yellow,blue,blue,50,40,B,496,2164,94,no_loss,0
07EA,exp,1,34,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,40,40,yellow,blue,blue,40,40,B,769,1792,48,no_loss,0
07EA,exp,1,35,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,10,blue,yellow,yellow,80,10,B,1157,1930,76,no_loss,0
07EA,exp,1,36,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,90,20,blue,yellow,yellow,90,20,B,669,3527,326,loss,90
07EA,exp,1,37,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,617,7593,11,no_loss,0
07EA,exp,1,38,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,70,30,yellow,blue,blue,70,30,B,832,2910,302,loss,70
07EA,exp,1,39,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,90,60,80,yellow,blue,blue,60,80,B,668,2527,146,loss,60
07EA,exp,1,40,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,40,50,blue,yellow,yellow,40,50,B,767,2914,281,loss,40
07EA,exp,1,41,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,80,20,blue,yellow,yellow,80,20,B,1165,3799,214,no_loss,0
07EA,exp,1,42,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,70,80,20,blue,yellow,yellow,80,20,B,1132,4789,132,no_loss,0
07EA,exp,1,43,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,100,20,yellow,blue,yellow,10,90,A,609,3472,322,loss,10
07EA,exp,1,44,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,60,70,50,blue,yellow,blue,40,60,A,764,8620,350,loss,40
07EA,exp,1,45,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,100,10,blue,yellow,yellow,100,10,B,1920,7252,107,no_loss,0
07EA,exp,1,46,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,13956,19393,132,no_loss,0
07EA,exp,1,47,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,70,50,40,blue,yellow,yellow,50,40,B,619,3383,21,no_loss,0
07EA,exp,1,48,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,80,80,40,blue,yellow,yellow,80,40,B,1049,58721,47,no_loss,0
07EA,exp,1,49,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,80,20,yellow,blue,blue,80,20,B,5951,2186,197,no_loss,0
07EA,exp,1,50,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,80,30,yellow,blue,blue,80,30,B,880,4782,236,no_loss,0
07EA,exp,1,51,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,100,30,blue,yellow,yellow,100,30,B,4867,5083,120,no_loss,0
07EA,exp,1,52,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,4968,3748,100,no_loss,0
07EA,exp,1,53,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,40,yellow,blue,blue,60,40,B,6867,29463,141,no_loss,0
07EA,exp,1,54,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,50,40,20,yellow,blue,blue,40,20,B,4683,2363,4,no_loss,0
07EA,exp,1,55,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,40,yellow,blue,blue,100,40,B,843,31031,190,no_loss,0
07EA,exp,1,56,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,70,30,yellow,blue,blue,70,30,B,4937,37673,311,loss,70
07EA,exp,1,57,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,90,20,blue,yellow,yellow,90,20,B,871,12302,275,no_loss,0
07EA,exp,1,58,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,yellow,40,90,A,714,5963,16,no_loss,0
07EA,exp,1,59,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,60,40,yellow,blue,blue,60,40,B,1188,4560,113,no_loss,0
07EA,exp,1,60,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,532,2956,309,loss,80
07EA,exp,1,61,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,50,blue,yellow,yellow,60,50,B,2060,4301,155,no_loss,0
07EA,exp,1,62,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,20,blue,yellow,blue,10,90,A,2253,8023,44,loss,10
07EA,exp,1,63,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,100,20,yellow,blue,blue,100,20,B,7517,4046,116,no_loss,0
07EA,exp,1,64,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,70,20,yellow,blue,blue,70,20,B,1178,2187,65,no_loss,0
07EA,exp,1,65,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,70,50,yellow,blue,yellow,60,70,A,1162,3131,251,loss,60
07EA,exp,1,66,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,70,60,50,blue,yellow,blue,30,70,A,647,2439,351,loss,30
07EA,exp,1,67,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,80,20,blue,yellow,yellow,80,20,B,1472,2759,351,loss,80
07EA,exp,1,68,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,100,30,yellow,blue,blue,100,30,B,3186,3333,120,no_loss,0
07EA,exp,1,69,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,80,30,yellow,blue,blue,80,30,B,970,3579,354,loss,80
07EA,exp,1,70,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,1312,33221,243,no_loss,0
07EA,exp,1,71,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,50,70,30,blue,yellow,yellow,70,30,B,740,23832,119,no_loss,0
07EA,exp,1,72,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,1038,22476,89,no_loss,0
07EA,exp,1,73,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,20,yellow,blue,blue,40,20,B,516,55297,114,no_loss,0
07EA,exp,1,74,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,40,30,blue,yellow,yellow,40,30,B,610,4010,63,no_loss,0
07EA,exp,1,75,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,90,30,yellow,blue,blue,90,30,B,1550,2419,108,no_loss,0
07EA,exp,1,76,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,573,4750,253,loss,30
07EA,exp,1,77,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,70,40,blue,yellow,yellow,70,40,B,1787,3511,72,no_loss,0
07EA,exp,1,78,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,1016,2695,125,no_loss,0
07EA,exp,1,79,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,70,10,yellow,blue,blue,70,10,B,1505,3930,74,no_loss,0
07EA,exp,1,80,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,60,20,yellow,blue,blue,60,20,B,13663,2930,205,no_loss,0
07EA,exp,1,81,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,yellow,80,40,B,2953,2288,43,no_loss,0
07EA,exp,1,82,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,50,40,yellow,blue,blue,50,40,B,792,3125,108,no_loss,0
07EA,exp,1,83,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,70,30,yellow,blue,blue,70,30,B,879,23582,57,no_loss,0
07EA,exp,1,84,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,50,70,30,yellow,blue,blue,70,30,B,2824,4669,161,no_loss,0
07EA,exp,1,85,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,90,60,40,20,yellow,blue,blue,40,20,B,2669,3150,97,no_loss,0
07EA,exp,1,86,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,100,20,blue,yellow,yellow,100,20,B,716,5555,12,no_loss,0
07EA,exp,1,87,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,blue,20,50,B,8129,8291,103,no_loss,0
07EA,exp,1,88,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,60,90,20,blue,yellow,yellow,90,20,B,8752,2272,262,no_loss,0
07EA,exp,1,89,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,50,50,yellow,blue,blue,50,50,B,1141,3627,131,no_loss,0
07EA,exp,1,90,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,90,50,blue,yellow,yellow,90,50,B,1258,2647,9,no_loss,0
