subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
13IA,practice,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,70,40,yellow,blue,blue,70,40,B,2222,15016,231,loss,70
13IA,practice,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,blue,80,10,B,2022,12138,212,no_loss,0
13IA,practice,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,60,90,20,yellow,blue,blue,90,20,B,1184,7855,235,no_loss,0
13IA,practice,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,70,30,yellow,blue,blue,70,30,B,954,8812,215,no_loss,0
13IA,practice,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,70,50,yellow,blue,blue,70,50,B,2643,6911,63,no_loss,0
13IA,practice,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,yellow,70,30,B,1338,6005,292,loss,70
13IA,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,10,blue,yellow,yellow,100,10,B,1408,9110,270,no_loss,0
13IA,exp,1,2,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,60,80,yellow,blue,blue,60,80,B,1184,18743,24,no_loss,0
13IA,exp,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,100,30,yellow,blue,blue,100,30,B,57343,5950,28,no_loss,0
13IA,exp,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,50,30,blue,yellow,yellow,50,30,B,1218,8133,332,loss,50
13IA,exp,1,5,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,70,30,50,yellow,blue,blue,30,50,B,1346,10463,74,no_loss,0
13IA,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,100,20,blue,yellow,yellow,100,20,B,2056,7645,274,no_loss,0
13IA,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,70,50,blue,yellow,yellow,70,50,B,766,4378,142,no_loss,0
13IA,exp,1,8,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,100,20,blue,yellow,yellow,100,20,B,952,2750,85,no_loss,0
13IA,exp,1,9,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,40,blue,yellow,yellow,100,40,B,1309,3723,360,loss,100
13IA,exp,1,10,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,1117,4294,278,no_loss,0
13IA,exp,1,11,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,70,60,10,blue,yellow,yellow,60,10,B,1250,5268,135,no_loss,0
13IA,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,70,20,yellow,blue,blue,70,20,B,36612,4513,208,no_loss,0
13IA,exp,1,13,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,70,30,yellow,blue,blue,70,30,B,10715,3355,306,loss,70
13IA,exp,1,14,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,50,40,yellow,blue,blue,50,40,B,2322,8702,288,loss,50
13IA,exp,1,15,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,100,20,blue,yellow,yellow,100,20,B,1164,4081,172,no_loss,0
13IA,exp,1,16,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,90,40,blue,yellow,yellow,90,40,B,2317,2930,300,loss,90
13IA,exp,1,17,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,30,yellow,blue,blue,70,30,B,1107,9336,256,loss,70
13IA,exp,1,18,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,70,30,blue,yellow,yellow,70,30,B,871,4864,262,loss,70
13IA,exp,1,19,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,blue,10,90,A,750,11495,268,loss,10
13IA,exp,1,20,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,1085,5709,143,no_loss,0
13IA,exp,1,21,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,40,40,yellow,blue,blue,40,40,B,1007,12126,183,no_loss,0
13IA,exp,1,22,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,80,60,10,yellow,blue,blue,60,10,B,1013,7622,219,no_loss,0
13IA,exp,1,23,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,50,50,yellow,blue,yellow,20,60,A,835,9058,36,no_loss,0
