subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
13IA,exp,1,24,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,60,40,blue,yellow,yellow,60,40,B,1260,9318,158,no_loss,0
13IA,exp,1,25,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,70,30,40,yellow,blue,blue,30,40,B,1025,5859,292,loss,30
13IA,exp,1,26,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,100,20,yellow,blue,blue,100,20,B,729,19316,15,no_loss,0
13IA,exp,1,27,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,50,50,yellow,blue,blue,50,50,B,3978,5359,195,loss,50
13IA,exp,1,28,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,80,20,blue,yellow,yellow,80,20,B,1128,7722,221,no_loss,0
13IA,exp,1,29,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,80,20,blue,yellow,yellow,80,20,B,2142,9834,143,no_loss,0
13IA,exp,1,30,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,70,20,blue,yellow,yellow,70,20,B,2316,10110,120,no_loss,0
13IA,exp,1,31,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,70,50,yellow,blue,blue,70,50,B,1060,12930,291,loss,70
13IA,exp,1,32,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,90,30,blue,yellow,yellow,90,30,B,1195,3448,242,no_loss,0
13IA,exp,1,33,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,60,90,20,yellow,blue,blue,90,20,B,1029,4223,320,loss,90
13IA,exp,1,34,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,80,80,20,yellow,blue,blue,80,20,B,759,5575,165,no_loss,0
13IA,exp,1,35,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,90,20,yellow,blue,blue,90,20,B,871,4927,177,no_loss,0
13IA,exp,1,36,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,858,4046,10,no_loss,0
13IA,exp,1,37,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,70,40,yellow,blue,blue,70,40,B,773,4781,261,loss,70
13IA,exp,1,38,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,872,5588,200,no_loss,0
13IA,exp,1,39,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,90,80,70,50,yellow,blue,blue,70,50,B,567,5652,270,loss,70
13IA,exp,1,40,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,40,30,blue,yellow,yellow,40,30,B,1651,4511,241,no_loss,0
13IA,exp,1,41,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,80,20,blue,yellow,yellow,80,20,B,1737,3283,347,loss,80
13IA,exp,1,42,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,90,30,yellow,blue,blue,90,30,B,1096,22451,2,no_loss,0
13IA,exp,1,43,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,562,4885,259,loss,90
13IA,exp,1,44,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,50,yellow,blue,yellow,60,70,A,1951,5656,91,no_loss,0
13IA,exp,1,45,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,1197,5821,61,no_loss,0
13IA,exp,1,46,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,60,20,blue,yellow,yellow,60,20,B,805,6286,79,no_loss,0
13IA,exp,1,47,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,90,20,yellow,blue,blue,90,20,B,926,2882,43,no_loss,0
13IA,exp,1,48,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,50,40,blue,yellow,yellow,50,40,B,1063,3136,48,no_loss,0
13IA,exp,1,49,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,80,30,blue,yellow,yellow,80,30,B,8504,2461,248,no_loss,0
13IA,exp,1,50,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,70,50,40,yellow,blue,blue,50,40,B,833,2886,135,no_loss,0
13IA,exp,1,51,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,80,30,blue,yellow,yellow,80,30,B,595,3134,313,loss,80
13IA,exp,1,52,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,50,40,20,yellow,blue,blue,40,20,B,2426,3813,38,no_loss,0
13IA,exp,1,53,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,80,60,30,blue,yellow,yellow,60,30,B,1392,3547,265,loss,60
13IA,exp,1,54,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,60,40,blue,yellow,yellow,60,40,B,1526,2092,260,loss,60
13IA,exp,1,55,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,90,50,yellow,blue,blue,90,50,B,1387,3575,213,loss,90
13IA,exp,1,56,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,80,40,blue,yellow,yellow,80,40,B,1270,8883,112,no_loss,0
13IA,exp,1,57,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,70,10,blue,yellow,yellow,70,10,B,681,4757,185,no_loss,0
13IA,exp,1,58,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,100,30,blue,yellow,yellow,100,30,B,1519,4252,168,no_loss,0
13IA,exp,1,59,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,50,blue,yellow,yellow,60,50,B,519,4788,322,loss,60
13IA,exp,1,60,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,80,40,yellow,blue,blue,80,40,B,2515,4498,143,no_loss,0
13IA,exp,1,61,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,70,40,blue,yellow,yellow,70,40,B,1242,9376,60,no_loss,0
13IA,exp,1,62,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,70,40,yellow,blue,blue,70,40,B,1148,4440,146,no_loss,0
13IA,exp,1,63,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,50,70,40,yellow,blue,blue,70,40,B,518,8055,25,no_loss,0
13IA,exp,1,64,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,100,30,yellow,blue,blue,100,30,B,1339,3985,302,loss,100
13IA,exp,1,65,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,40,50,yellow,blue,blue,40,50,B,5277,5665,95,no_loss,0
13IA,exp,1,66,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,90,20,yellow,blue,blue,90,20,B,1585,4144,68,no_loss,0
13IA,exp,1,67,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,90,50,blue,yellow,yellow,90,50,B,922,4273,259,loss,90
13IA,exp,1,68,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,3890,4161,184,no_loss,0
13IA,exp,1,69,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,70,40,blue,yellow,yellow,70,40,B,1007,5371,242,loss,70
13IA,exp,1,70,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,100,20,blue,yellow,yellow,100,20,B,1022,2926,108,no_loss,0
13IA,exp,1,71,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,80,30,yellow,blue,blue,80,30,B,1701,5707,215,no_loss,0
13IA,exp,1,72,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,880,3410,307,loss,70
13IA,exp,1,73,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,60,50,yellow,blue,blue,60,50,B,1045,6953,51,no_loss,0
13IA,exp,1,74,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,60,40,20,blue,yellow,blue,90,60,A,701,6853,97,no_loss,0
13IA,exp,1,75,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,50,70,30,blue,yellow,yellow,70,30,B,971,4422,12,no_loss,0
13IA,exp,1,76,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,1872,4803,338,loss,70
13IA,exp,1,77,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,60,80,50,blue,yellow,yellow,80,50,B,969,6728,31,no_loss,0
13IA,exp,1,78,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,50,60,yellow,blue,yellow,80,90,A,835,7724,141,loss,80
13IA,exp,1,79,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,blue,80,10,B,970,4466,288,no_loss,0
13IA,exp,1,80,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,80,40,blue,yellow,yellow,80,40,B,743,3713,178,no_loss,0
13IA,exp,1,81,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,70,80,20,yellow,blue,blue,80,20,B,1331,5692,80,no_loss,0
13IA,exp,1,82,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,20,50,blue,yellow,blue,60,70,A,1558,5004,272,loss,60
13IA,exp,1,83,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,80,20,yellow,blue,blue,80,20,B,841,2182,249,no_loss,0
13IA,exp,1,84,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,40,40,yellow,blue,blue,40,40,B,703,3179,191,no_loss,0
13IA,exp,1,85,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,90,30,blue,yellow,yellow,90,30,B,1082,2344,74,no_loss,0
13IA,exp,1,86,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,20,yellow,blue,blue,80,20,B,1148,2254,239,no_loss,0
13IA,exp,1,87,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,20,yellow,blue,blue,40,20,B,852,3137,63,no_loss,0
13IA,exp,1,88,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,80,50,40,yellow,blue,blue,50,40,B,763,2294,82,no_loss,0
13IA,exp,1,89,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,100,20,blue,yellow,yellow,100,20,B,1166,2295,244,no_loss,0
13IA,exp,1,90,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,70,80,30,40,blue,yellow,yellow,30,40,B,1270,1949,174,no_loss,0
